name	type	group	opc_item	writes	reads	description
T4ClapLatchSelect8	Boolean	СилКорпус / Выходные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t41DO8	T4ClapBlockOffButton_OnClick,T4ClapCalScript8,T4ClapCloseScript8,T4ClapOpenScript8	T4ClapLightControl	Выходное реле выбора заслонки для управления
T4ClapLatchSelect9	Boolean	СилКорпус / Выходные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t41DO9	T4ClapBlockOffButton_OnClick,T4ClapCalScript9,T4ClapCloseScript9,T4ClapOpenScript9	T4ClapLightControl	Выходное реле выбора заслонки для управления
T4ClapLatchStatus1	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus10	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus2	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus3	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus4	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus5	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus6	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus7	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus8	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatus9	Word	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4				Статус заслонки транспортера
T4ClapLatchStatusByte1	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript1,T4ClapCloseScript1,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript1	T4ClapCalButton1_OnClick,T4ClapCalScript1,T4ClapCloseButton1_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton1_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte10	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript10,T4ClapCloseScript10,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript10	T4ClapCalButton10_OnClick,T4ClapCalScript10,T4ClapCloseButton10_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton10_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte2	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript2,T4ClapCloseScript2,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript2	T4ClapCalButton2_OnClick,T4ClapCalScript2,T4ClapCloseButton2_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton2_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte3	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript3,T4ClapCloseScript3,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript3	T4ClapCalButton3_OnClick,T4ClapCalScript3,T4ClapCloseButton3_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton3_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte4	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript4,T4ClapCloseScript4,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript4	T4ClapCalButton4_OnClick,T4ClapCalScript4,T4ClapCloseButton4_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton4_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte5	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript5,T4ClapCloseScript5,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript5	T4ClapCalButton5_OnClick,T4ClapCalScript5,T4ClapCloseButton5_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton5_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte6	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript6,T4ClapCloseScript6,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript6	T4ClapCalButton6_OnClick,T4ClapCalScript6,T4ClapCloseButton6_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton6_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte7	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript7,T4ClapCloseScript7,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript7	T4ClapCalButton7_OnClick,T4ClapCalScript7,T4ClapCloseButton7_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton7_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte8	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript8,T4ClapCloseScript8,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript8	T4ClapCalButton8_OnClick,T4ClapCalScript8,T4ClapCloseButton8_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton8_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapLatchStatusByte9	Byte	СилКорпус / Статусы механизмов / Заслонки транспортера номер 4		T4ClapCalScript9,T4ClapCloseScript9,T4ClapErrorOffButton_OnClick,T4ClapLatchMnemo,T4ClapOpenScript9	T4ClapCalButton9_OnClick,T4ClapCalScript9,T4ClapCloseButton9_OnClick,T4ClapLatchStatusBar,T4ClapOpenButton9_OnClick	Статус заслонки транспортера в битах для формирования сообщений
T4ClapOpenStatus1	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton1_OnClick,T4ClapOpenScript1	T4ClapOpenScript1	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus10	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton10_OnClick,T4ClapOpenScript10	T4ClapOpenScript10	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus2	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton2_OnClick,T4ClapOpenScript2	T4ClapOpenScript2	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus3	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton3_OnClick,T4ClapOpenScript3	T4ClapOpenScript3	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus4	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton4_OnClick,T4ClapOpenScript4	T4ClapOpenScript4	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus5	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton5_OnClick,T4ClapOpenScript5	T4ClapOpenScript5	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus6	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton6_OnClick,T4ClapOpenScript6	T4ClapOpenScript6	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus7	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton7_OnClick,T4ClapOpenScript7	T4ClapOpenScript7	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus8	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton8_OnClick,T4ClapOpenScript8	T4ClapOpenScript8	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenStatus9	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenButton9_OnClick,T4ClapOpenScript9	T4ClapOpenScript9	Переменная для пуска алгоритма открытия заслонки
T4ClapOpenTimer1	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript1	T4ClapOpenScript1	Таймер алгоритма открытия заслонки
T4ClapOpenTimer10	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript10	T4ClapOpenScript10	Таймер алгоритма открытия заслонки
T4ClapOpenTimer2	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript2	T4ClapOpenScript2	Таймер алгоритма открытия заслонки
T4ClapOpenTimer3	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript3	T4ClapOpenScript3	Таймер алгоритма открытия заслонки
T4ClapOpenTimer4	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript4	T4ClapOpenScript4	Таймер алгоритма открытия заслонки
T4ClapOpenTimer5	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript5	T4ClapOpenScript5	Таймер алгоритма открытия заслонки
T4ClapOpenTimer6	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript6	T4ClapOpenScript6	Таймер алгоритма открытия заслонки
T4ClapOpenTimer7	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript7	T4ClapOpenScript7	Таймер алгоритма открытия заслонки
T4ClapOpenTimer8	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript8	T4ClapOpenScript8	Таймер алгоритма открытия заслонки
T4ClapOpenTimer9	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4ClapBlockOffButton_OnClick,T4ClapOpenScript9	T4ClapOpenScript9	Таймер алгоритма открытия заслонки
T4CloseStatus1	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript1,T4CloseButton1_OnClick,T4CloseScript1	T4CloseScript1	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus10	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript10,T4CloseButton10_OnClick,T4CloseScript10	T4CloseScript10	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus2	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript2,T4CloseButton2_OnClick,T4CloseScript2	T4CloseScript2	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus3	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript3,T4CloseButton3_OnClick,T4CloseScript3,T5CloseButton3_OnClick	T4CloseScript3	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus4	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript4,T4CloseButton4_OnClick,T4CloseScript4	T4CloseScript4	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus5	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript5,T4CloseButton5_OnClick,T4CloseScript5	T4CloseScript5	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus6	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript6,T4CloseButton6_OnClick,T4CloseScript6	T4CloseScript6	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus7	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript7,T4CloseButton7_OnClick,T4CloseScript7	T4CloseScript7	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus8	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript8,T4CloseButton8_OnClick,T4CloseScript8	T4CloseScript8	Переменная для пуска алгоритма закрытия заслонки
T4CloseStatus9	Boolean	СилКорпус / Переменные управления заслонками / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CalScript9,T4CloseButton9_OnClick,T4CloseScript9	T4CloseScript9	Переменная для пуска алгоритма закрытия заслонки
T4CloseTimer1	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript1	T4CloseScript1	Таймер алгоритма закрытия заслонки
T4CloseTimer10	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript10	T4CloseScript10	Таймер алгоритма закрытия заслонки
T4CloseTimer2	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript2	T4CloseScript2	Таймер алгоритма закрытия заслонки
T4CloseTimer3	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript3	T4CloseScript3	Таймер алгоритма закрытия заслонки
T4CloseTimer4	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript4	T4CloseScript4	Таймер алгоритма закрытия заслонки
T4CloseTimer5	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript5	T4CloseScript5	Таймер алгоритма закрытия заслонки
T4CloseTimer6	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript6	T4CloseScript6	Таймер алгоритма закрытия заслонки
T4CloseTimer7	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript7	T4CloseScript7	Таймер алгоритма закрытия заслонки
T4CloseTimer8	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript8	T4CloseScript8	Таймер алгоритма закрытия заслонки
T4CloseTimer9	Integer	СилКорпус / Таймеры / Заслонки транспортера номер 4		T4BlockOffButton_OnClick,T4CloseScript9	T4CloseScript9	Таймер алгоритма закрытия заслонки
T4Freq	Single	СилКорпус / Входные переменные / Переменные телеметрии Частотных преобразователей	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4FreqMonitoring			Задание частоты для частотного преобразователя транспортера
T4FreqToPLC	Single	СилКорпус / Выходные переменные / Задание частоты ЧП транспортеров	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4Freq	T1toT7StartFreq,T4FreqTarget		
T4LatchCalCloseTime1	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript1	T4CalScript1,T4CalValueBar,T4CloseButton1_OnClick,T4CloseScript1	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime10	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript10	T4CalScript10,T4CalValueBar,T4CloseButton10_OnClick,T4CloseScript10	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime2	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript2	T4CalScript2,T4CalValueBar,T4CloseButton2_OnClick,T4CloseScript2	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime3	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript3	T4CalScript3,T4CalValueBar,T4CloseButton3_OnClick,T4CloseScript3	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime4	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript4	T4CalScript4,T4CalValueBar,T4CloseButton4_OnClick,T4CloseScript4	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime5	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript5	T4CalScript5,T4CalValueBar,T4CloseButton5_OnClick,T4CloseScript5	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime6	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript6	T4CalScript6,T4CalValueBar,T4CloseButton6_OnClick,T4CloseScript6	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime7	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript7	T4CalScript7,T4CalValueBar,T4CloseButton7_OnClick,T4CloseScript7	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime8	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript8	T4CalScript8,T4CalValueBar,T4CloseButton8_OnClick,T4CloseScript8	Время хода задвижки от открытого состояния к закрытому
T4LatchCalCloseTime9	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript9	T4CalScript9,T4CalValueBar,T4CloseButton9_OnClick,T4CloseScript9	Время хода задвижки от открытого состояния к закрытому
T4LatchCalOpenTime1	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript1	T4CalScript1,T4CalValueBar,T4OpenButton1_OnClick,T4OpenScript1	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime10	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript10	T4CalScript10,T4CalValueBar,T4OpenButton10_OnClick,T4OpenScript10	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime2	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript2	T4CalScript2,T4CalValueBar,T4OpenButton2_OnClick,T4OpenScript2	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime3	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript3	T4CalScript3,T4CalValueBar,T4OpenButton3_OnClick,T4OpenScript3	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime4	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript4	T4CalScript4,T4CalValueBar,T4OpenButton4_OnClick,T4OpenScript4	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime5	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript5	T4CalScript5,T4CalValueBar,T4OpenButton5_OnClick,T4OpenScript5	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime6	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript6	T4CalScript6,T4CalValueBar,T4OpenButton6_OnClick,T4OpenScript6	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime7	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript7	T4CalScript7,T4CalValueBar,T4OpenButton7_OnClick,T4OpenScript7	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime8	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript8	T4CalScript8,T4CalValueBar,T4OpenButton8_OnClick,T4OpenScript8	Время хода задвижки от закрытого состояния к открытому
T4LatchCalOpenTime9	Integer	СилКорпус / Калибровки хода заслонок / Заслонки транспортера номер 4		T4CalScript9	T4CalScript9,T4CalValueBar,T4OpenButton9_OnClick,T4OpenScript9	Время хода задвижки от закрытого состояния к открытому
T4LatchClose1	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI2		T4CalScript1,T4CloseScript1,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose10	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI20		T4CalScript10,T4CloseScript10,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose2	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI4		T4CalScript2,T4CloseScript2,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose3	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI6		T4CalScript3,T4CloseScript3,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose4	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI8		T4CalScript4,T4CloseScript4,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose5	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI10		T4CalScript5,T4CloseScript5,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose6	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI12		T4CalScript6,T4CloseScript6,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose7	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI14		T4CalScript7,T4CloseScript7,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose8	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI16		T4CalScript8,T4CloseScript8,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchClose9	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI18		T4CalScript9,T4CloseScript9,T4LatchMnemo	Входое реле концевика закрытого состояния задвижки
T4LatchOpen1	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI1		T4CalScript1,T4LatchMnemo,T4OpenScript1	Входое реле концевика открытого состояния задвижки
T4LatchOpen10	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI19		T4CalScript10,T4LatchMnemo,T4OpenScript10	Входое реле концевика открытого состояния задвижки
T4LatchOpen2	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI3		T4CalScript2,T4LatchMnemo,T4OpenScript2	Входое реле концевика открытого состояния задвижки
T4LatchOpen3	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI5		T4CalScript3,T4LatchMnemo,T4OpenScript3	Входое реле концевика открытого состояния задвижки
T4LatchOpen4	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI7		T4CalScript4,T4LatchMnemo,T4OpenScript4	Входое реле концевика открытого состояния задвижки
T4LatchOpen5	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI9		T4CalScript5,T4LatchMnemo,T4OpenScript5	Входое реле концевика открытого состояния задвижки
T4LatchOpen6	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI11		T4CalScript6,T4LatchMnemo,T4OpenScript6	Входое реле концевика открытого состояния задвижки
T4LatchOpen7	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI13		T4CalScript7,T4LatchMnemo,T4OpenScript7	Входое реле концевика открытого состояния задвижки
T4LatchOpen8	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI15		T4CalScript8,T4LatchMnemo,T4OpenScript8	Входое реле концевика открытого состояния задвижки
T4LatchOpen9	Boolean	СилКорпус / Входные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI17		T4CalScript9,T4LatchMnemo,T4OpenScript9	Входое реле концевика открытого состояния задвижки
T4LatchRunClose	Boolean	СилКорпус / Выходные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DO12	T4BlockOffButton_OnClick,T4CalScript1,T4CalScript10,T4CalScript2,T4CalScript3,T4CalScript4,T4CalScript5,T4CalScript6,T4CalScript7,T4CalScript8,T4CalScript9,T4CloseScript1,T4CloseScript10,T4CloseScript2,T4CloseScript3,T4CloseScript4,T4CloseScript5,T4CloseScript6,T4CloseScript7,T4CloseScript8,T4CloseScript9	T4CalScript1,T4CalScript10,T4CalScript2,T4CalScript3,T4CalScript4,T4CalScript5,T4CalScript6,T4CalScript7,T4CalScript8,T4CalScript9,T4LightControl	Выходное реле для закрытия выбранной заслонки
T4LatchRunOpen	Boolean	СилКорпус / Выходные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DO11	T4BlockOffButton_OnClick,T4CalScript1,T4CalScript10,T4CalScript2,T4CalScript3,T4CalScript4,T4CalScript5,T4CalScript6,T4CalScript7,T4CalScript8,T4CalScript9,T4OpenScript1,T4OpenScript10,T4OpenScript2,T4OpenScript3,T4OpenScript4,T4OpenScript5,T4OpenScript6,T4OpenScript7,T4OpenScript8,T4OpenScript9	T4CalScript1,T4CalScript10,T4CalScript2,T4CalScript3,T4CalScript4,T4CalScript5,T4CalScript6,T4CalScript7,T4CalScript8,T4CalScript9,T4LightControl	Выходное реле для открытия выбранной заслонки
T4LatchSelect1	Boolean	СилКорпус / Выходные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DO1	T4BlockOffButton_OnClick,T4CalScript1,T4CloseScript1,T4OpenScript1	T4LightControl	Выходное реле выбора заслонки для управления
T4LatchSelect10	Boolean	СилКорпус / Выходные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DO10	T4BlockOffButton_OnClick,T4CalScript10,T4CloseScript10,T4OpenScript10	T4LightControl	Выходное реле выбора заслонки для управления
T4LatchSelect2	Boolean	СилКорпус / Выходные переменные / Заслонки транспортера номер 4	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DO2	T4BlockOffButton_OnClick,T4CalScript2,T4CloseScript2,T4OpenScript2	T4LightControl	Выходное реле выбора заслонки для управления
