name	type	group	opc_item	writes	reads	description
L1_D1_S_Load	Word	СилКорпус / Переменные весового терминала	L1_D1_S_Load			
L1_D1_S_Pause	Word	СилКорпус / Переменные весового терминала	L1_D1_S_Pause		Indicators,StartVesIndicators	
L1_D1_S_Start	Word	СилКорпус / Переменные весового терминала	L1_D1_S_Start	VesStartImage_OnClick	Indicators,StartVesIndicators	
L1_D1_S_Stop	Word	СилКорпус / Переменные весового терминала	L1_D1_S_Stop	VesStopImage_OnClick	Indicators,StartVesIndicators	
L1_D1_S_UnLoad	Word	СилКорпус / Переменные весового терминала	L1_D1_S_UnLoad			
L1_D1_Weight	Double	СилКорпус / Переменные весового терминала	L1_D1_Weight			
LatchBottomStatus	Boolean	СилКорпус / Переменные весового терминала			Indicators,StartVesIndicators	
LatchHighStatus	Boolean	СилКорпус / Переменные весового терминала			Indicators,StartVesIndicators	
LocalCounter	Double	СилКорпус / Переменные весового терминала		CalculateLocalCounter,ClearLocalCounterButton_OnClick	CalculateLocalCounter	
LocalCounterTimer	Integer	СилКорпус / Переменные весового терминала		CalculateLocalCounter	CalculateLocalCounter	
ManualStartStatus	Boolean	СилКорпус / Служебные переменные		ManualStart,StartButtonC10_OnClick,StartButtonC11_OnClick,StartButtonC12_OnClick,StartButtonC1_OnClick,StartButtonC1a_OnClick,StartButtonC2_OnClick,StartButtonC2a_OnClick,StartButtonC3_OnClick,StartButtonC4_OnClick,StartButtonC7_OnClick,StartButtonC8_OnClick,StartButtonC9_OnClick,StartButtonN11_OnClick,StartButtonN1_OnClick,StartButtonN1a_OnClick,StartButtonN2_OnClick,StartButtonN2a_OnClick,StartButtonN3_OnClick,StartButtonN4_OnClick,StartButtonN5_OnClick,StartButtonN6_OnClick,StartForwardButtonT10_OnClick,StartForwardButtonT11_OnClick,StartForwardButtonT17_OnClick,StartForwardButtonT17a_OnClick,StartForwardButtonT1_OnClick,StartForwardButtonT22_OnClick,StartForwardButtonT24_OnClick,StartForwardButtonT25_OnClick,StartForwardButtonT2_OnClick,StartForwardButtonT3_OnClick,StartForwardButtonT4_OnClick,StartForwardButtonT5_OnClick,StartForwardButtonT6_OnClick,StartForwardButtonT7_OnClick,StartForwardButtonT8_OnClick,StartForwardButtonT8a_OnClick,StartForwardButtonT9_OnClick,StartForwardButtonT9a_OnClick,StartReversButtonT10_OnClick,StartReversButtonT11_OnClick,StartReversButtonT17_OnClick,StartReversButtonT17a_OnClick,StartReversButtonT1_OnClick,StartReversButtonT22_OnClick,StartReversButtonT24_OnClick,StartReversButtonT25_OnClick,StartReversButtonT2_OnClick,StartReversButtonT3_OnClick,StartReversButtonT4_OnClick,StartReversButtonT5_OnClick,StartReversButtonT6_OnClick,StartReversButtonT7_OnClick,StartReversButtonT8_OnClick,StartReversButtonT8a_OnClick,StartReversButtonT9_OnClick,StartReversButtonT9a_OnClick	ManualStart	Статус запускающий алгоритм запуска оборудования
ManualTimer	Integer	СилКорпус / Таймеры / Служебные таймеры		ManualStart	ManualStart	Таймер контроля алгоритма пуска механизмов
ManualTimerAlarm	Integer	СилКорпус / Таймеры / Служебные таймеры		ManualStart	ManualStart	Таймер контроля алгоритма пуска механизмов
ManualTimerDelay	Integer	СилКорпус / Таймеры / Служебные таймеры		ManualStart	ManualStart	Таймер контроля алгоритма пуска механизмов
MembSensorAT1	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t1DI21		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorAT2	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t1DI22		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorAT3	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t1DI22		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorAT4	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI21		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorAT5	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t5DI21		MnemoControlT	Сигнал мембранного датчика транспортера
