SysCurrentTime	Текущее время
T7LatchSelect5	Выходное реле выбора заслонки для управления
T7LatchSelect6	Выходное реле выбора заслонки для управления
T7LatchSelect7	Выходное реле выбора заслонки для управления
T7LatchSelect8	Выходное реле выбора заслонки для управления
T7LatchSelect9	Выходное реле выбора заслонки для управления
T7LatchSelect10	Выходное реле выбора заслонки для управления
Alarm16Level	Выходное реле запуска звукового оповещения 16 этажа
Alarm1Level	Выходное реле запуска звукового оповещения первого этажа
T4LatchSelect1	Выходное реле выбора заслонки для управления
T4LatchSelect2	Выходное реле выбора заслонки для управления
T4LatchSelect3	Выходное реле выбора заслонки для управления
T4LatchSelect4	Выходное реле выбора заслонки для управления
T4LatchSelect5	Выходное реле выбора заслонки для управления
T4LatchSelect6	Выходное реле выбора заслонки для управления
T4LatchSelect7	Выходное реле выбора заслонки для управления
T4LatchSelect8	Выходное реле выбора заслонки для управления
T4LatchSelect9	Выходное реле выбора заслонки для управления
T4LatchSelect10	Выходное реле выбора заслонки для управления
T4LatchRunOpen	Выходное реле для открытия выбранной заслонки
T4LatchRunClose	Выходное реле для закрытия выбранной заслонки
T4ClapLatchSelect1	Выходное реле выбора заслонки для управления
T4ClapLatchSelect2	Выходное реле выбора заслонки для управления
T4ClapLatchSelect3	Выходное реле выбора заслонки для управления
T4ClapLatchSelect4	Выходное реле выбора заслонки для управления
T4ClapLatchSelect5	Выходное реле выбора заслонки для управления
T4ClapLatchSelect6	Выходное реле выбора заслонки для управления
T4ClapLatchSelect7	Выходное реле выбора заслонки для управления
T4ClapLatchSelect8	Выходное реле выбора заслонки для управления
T4ClapLatchSelect9	Выходное реле выбора заслонки для управления
T4ClapLatchSelect10	Выходное реле выбора заслонки для управления
T4ClapLatchRunOpen	Выходное реле для открытия выбранной заслонки
T4ClapLatchRunClose	Выходное реле для закрытия выбранной заслонки
T5LatchSelect1	Выходное реле выбора заслонки для управления
T5LatchSelect2	Выходное реле выбора заслонки для управления
T5LatchSelect3	Выходное реле выбора заслонки для управления
T5LatchSelect4	Выходное реле выбора заслонки для управления
T5LatchSelect5	Выходное реле выбора заслонки для управления
T5LatchSelect6	Выходное реле выбора заслонки для управления
T5LatchSelect7	Выходное реле выбора заслонки для управления
T5LatchSelect8	Выходное реле выбора заслонки для управления
T5LatchRunOpen	Выходное реле для открытия выбранной заслонки
T5LatchRunClose	Выходное реле для закрытия выбранной заслонки
T5ClapLatchSelect1	Выходное реле выбора заслонки для управления
T5ClapLatchSelect2	Выходное реле выбора заслонки для управления
T5ClapLatchSelect3	Выходное реле выбора заслонки для управления
T5ClapLatchSelect4	Выходное реле выбора заслонки для управления
T5ClapLatchSelect5	Выходное реле выбора заслонки для управления
T5ClapLatchSelect6	Выходное реле выбора заслонки для управления
T5ClapLatchSelect7	Выходное реле выбора заслонки для управления
T5ClapLatchSelect8	Выходное реле выбора заслонки для управления
T5ClapLatchRunOpen	Выходное реле для открытия выбранной заслонки
T5ClapLatchRunClose	Выходное реле для закрытия выбранной заслонки
T1LatchSelect1	Выходное реле выбора заслонки для управления
T1LatchSelect2	Выходное реле выбора заслонки для управления
T1LatchSelect3	Выходное реле выбора заслонки для управления
T1LatchSelect4	Выходное реле выбора заслонки для управления
T1LatchSelect5	Выходное реле выбора заслонки для управления
T1LatchSelect6	Выходное реле выбора заслонки для управления
T1LatchSelect7	Выходное реле выбора заслонки для управления
T1LatchSelect8	Выходное реле выбора заслонки для управления
T1LatchRunOpen	Выходное реле для открытия выбранной заслонки
T1LatchRunClose	Выходное реле для закрытия выбранной заслонки
T1LatchSelect9	Выходное реле выбора заслонки для управления
T1TargerFreq	
T2TargerFreq	
T3TargerFreq	
T4TargerFreq	
T5TargerFreq	
T6TargerFreq	
T7TargerFreq	
T1FreqToPLC	
T2FreqToPLC	
T3FreqToPLC	
T4FreqToPLC	
T5FreqToPLC	
T6FreqToPLC	Входные переменные
T7FreqToPLC	Входные переменные
RelayInN1	Входное реле ответа пускателя нории
RelayInN2	Входное реле ответа пускателя нории
RelayInN3	Входное реле ответа пускателя нории
RelayInN4	Входное реле ответа пускателя нории
RelayInN5	Входное реле ответа пускателя нории
RelayInN6	Входное реле ответа пускателя нории
RelayInN7	Входное реле ответа пускателя нории
RelayInN8	Входное реле ответа пускателя нории
RelayInN9	Входное реле ответа пускателя нории
RelayInN10	Входное реле ответа пускателя нории
RelayAlarmN1	Входное реле аварии нории
RelayAlarmN2	Входное реле аварии нории
RelayAlarmN3	Входное реле аварии нории
RelayAlarmN4	Входное реле аварии нории
RelayAlarmN5	Входное реле аварии нории
RelayAlarmN6	Входное реле аварии нории
RelayAlarmN7	Входное реле аварии нории
RelayAlarmN8	Входное реле аварии нории
RelayAlarmN9	Входное реле аварии нории
RelayAlarmN10	Входное реле аварии нории
RelayStopInN1	Входное реле стоповой кнопки пускателя
RelayStopInN2	Входное реле стоповой кнопки пускателя
RelayStopInN3	Входное реле стоповой кнопки пускателя
